"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Albendazole oxide","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","fat"
"Albendazole oxide","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","1 000  μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against endoparasites",1000,"μg/kg","liver"
"Albendazole oxide","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","500 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against endoparasites",500,"μg/kg","kidney"
"Albendazole oxide","Sum of albendazole oxide, albendazole sulphone, and albendazole 2-amino sulphone, expressed as albendazole","Bovine, ovine","100 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","milk"
"Alfacalcidol","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For parturient cows only.","NO ENTRY",NA,NA,NA
"Alfaprostol","NOT APPLICABLE","Bovine, porcine, rabbit, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Allantoin","NOT APPLICABLE","All food-producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Allium cepa","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Aloe vera gel and whole leaf extract of Aloe vera","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Aloes, Barbados and Capae, their standardised dry extract and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Alphacypermethrin","Cypermethrin (sum of isomers)","Bovine, ovine","20 μg/kg","Muscle","For milk MRL further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","muscle"
"Alphacypermethrin","Cypermethrin (sum of isomers)","Bovine, ovine","200 μg/kg","Fat","For milk MRL further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","fat"
"Alphacypermethrin","Cypermethrin (sum of isomers)","Bovine, ovine","20 μg/kg","Liver","For milk MRL further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","liver"
"Alphacypermethrin","Cypermethrin (sum of isomers)","Bovine, ovine","20 μg/kg","Kidney","For milk MRL further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","kidney"
"Alphacypermethrin","Cypermethrin (sum of isomers)","Bovine, ovine","20 μg/kg","Milk","For milk MRL further provisions in Commission Directive 98/82/EC are to be observed.","Antiparasitic agents/Agents against ectoparasites",20,"μg/kg","milk"
"Altrenogest","Altrenogest","Porcine","4  μg/kg","Skin and fat","Only for zootechnical use and in accordance with the provisions of Directive 96/22/EC","Agents acting on the reproductive system",4,"μg/kg","skin_fat"
"Altrenogest","Altrenogest","Porcine","2  μg/kg","Liver","Only for zootechnical use and in accordance with the provisions of Directive 96/22/EC","Agents acting on the reproductive system",2,"μg/kg","liver"
"Altrenogest","Altrenogest","Equidae","4  μg/kg","Fat","Only for zootechnical use and in accordance with the provisions of Directive 96/22/EC","Agents acting on the reproductive system",4,"μg/kg","fat"
"Altrenogest","Altrenogest","Equidae","4  μg/kg","Liver","Only for zootechnical use and in accordance with the provisions of Directive 96/22/EC","Agents acting on the reproductive system",4,"μg/kg","liver"
"Aluminium distearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aluminium hydroxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aluminium hydroxide acetate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aluminium monostearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aluminium phosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aluminium salicylate, basic","Salicylic acid","Bovine,","200 μg/kg","Muscle","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",200,"μg/kg","muscle"
"Aluminium salicylate, basic","Salicylic acid","caprine,","200 μg/kg","Muscle","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",200,"μg/kg","muscle"
"Aluminium salicylate, basic","Salicylic acid","Equidae,","200 μg/kg","Muscle","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",200,"μg/kg","muscle"
"Aluminium salicylate, basic","Salicylic acid","rabbit","200 μg/kg","Muscle","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",200,"μg/kg","muscle"
"Aluminium salicylate, basic","Salicylic acid","Bovine,","500 μg/kg","Fat","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",500,"μg/kg","fat"
"Aluminium salicylate, basic","Salicylic acid","caprine,","500 μg/kg","Fat","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",500,"μg/kg","fat"
"Aluminium salicylate, basic","Salicylic acid","Equidae,","500 μg/kg","Fat","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",500,"μg/kg","fat"
"Aluminium salicylate, basic","Salicylic acid","rabbit","500 μg/kg","Fat","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",500,"μg/kg","fat"
"Aluminium salicylate, basic","Salicylic acid","Bovine,","1 500  μg/kg","Liver","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","liver"
"Aluminium salicylate, basic","Salicylic acid","caprine,","1 500  μg/kg","Liver","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","liver"
"Aluminium salicylate, basic","Salicylic acid","Equidae,","1 500  μg/kg","Liver","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","liver"
"Aluminium salicylate, basic","Salicylic acid","rabbit","1 500  μg/kg","Liver","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","liver"
"Aluminium salicylate, basic","Salicylic acid","Bovine,","1 500  μg/kg","Kidney","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","kidney"
"Aluminium salicylate, basic","Salicylic acid","caprine,","1 500  μg/kg","Kidney","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","kidney"
"Aluminium salicylate, basic","Salicylic acid","Equidae,","1 500  μg/kg","Kidney","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","kidney"
"Aluminium salicylate, basic","Salicylic acid","rabbit","1 500  μg/kg","Kidney","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",1500,"μg/kg","kidney"
"Aluminium salicylate, basic","Salicylic acid","Bovine,","9 μg/kg","Milk","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",9,"μg/kg","milk"
"Aluminium salicylate, basic","Salicylic acid","caprine,","9 μg/kg","Milk","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",9,"μg/kg","milk"
"Aluminium salicylate, basic","Salicylic acid","Equidae","9 μg/kg","Milk","NO ENTRY","Antidiarrheal and intestinal anti-inflammatory agents",9,"μg/kg","milk"
"Aluminium tristearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"2-Aminoethanol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"2-Aminoethanol glucuronate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"2-Aminoethyl dihydrogenphosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Bovine","200 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","fat"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Bovine","200 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","liver"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Bovine","200 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","kidney"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Bovine","10 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","milk"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Ovine","400 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",400,"μg/kg","fat"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Ovine","100 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",100,"μg/kg","liver"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Ovine","200 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","kidney"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Ovine","10 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","milk"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Caprine","200 μg/kg","Fat","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","fat"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Caprine","100 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",100,"μg/kg","liver"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Caprine","200 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","kidney"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Caprine","10 μg/kg","Milk","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",10,"μg/kg","milk"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Porcine","400 μg/kg","Skin and fat","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",400,"μg/kg","skin_fat"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Porcine","200 μg/kg","Liver","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","liver"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Porcine","200 μg/kg","Kidney","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","kidney"
"Amitraz","Sum of amitraz and all metabolites containing the 2,4-DMA moiety, expressed as amitraz","Bees","200 μg/kg","Honey","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",200,"μg/kg","honey"
"Ammonium chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ammonium lauryl sulphate","NOT APPLICABLE","All food-producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ammonium sulfate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Amoxicillin","Amoxicillin","All food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Amoxicillin","Amoxicillin","All food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Amoxicillin","Amoxicillin","All food producing species","50 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Amoxicillin","Amoxicillin","All food producing species","50 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","kidney"
"Amoxicillin","Amoxicillin","All food producing species","4 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",4,"μg/kg","milk"
"Ampicillin","Ampicillin","All food producing species","50 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Ampicillin","Ampicillin","All food producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Ampicillin","Ampicillin","All food producing species","50 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","liver"
"Ampicillin","Ampicillin","All food producing species","50 μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","kidney"
"Ampicillin","Ampicillin","All food producing species","4 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",4,"μg/kg","milk"
"Amprolium","NOT APPLICABLE","Poultry","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Angelicae radix aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Anisi aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Anisi stellati fructus, standardised extracts and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Apocynum cannabinum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per hundred only. For oral use only.","NO ENTRY",NA,NA,NA
"Apramycin","Apramycin","Bovine","1 000  μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",1000,"μg/kg","muscle"
"Apramycin","Apramycin","Bovine","1 000  μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",1000,"μg/kg","fat"
"Apramycin","Apramycin","Bovine","10 000  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",10000,"μg/kg","liver"
"Apramycin","Apramycin","Bovine","20 000  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Anti-infectious agents/Antibiotics",20000,"μg/kg","kidney"
"Apramycin","NOT APPLICABLE","Ovine, porcine, chicken, rabbit","No MRL required","NOT APPLICABLE","For oral use only.
                           Not for use in animals from which milk or eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",NA,NA,NA
"Aqua levici","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias only.","NO ENTRY",NA,NA,NA
"Arginine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Arnica montana (arnicae flos and arnicae planta tota)","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Arnicae radix","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding in the products not exceeding one part per ten only.","NO ENTRY",NA,NA,NA
"Artemisia abrotanum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Asparagine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Aspartic acid","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Atropa belladonna","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias, at concentrations in the products not exceeding one part per hundred only.","NO ENTRY",NA,NA,NA
"Atropine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Avilamycin","Dichloroisoeverninic acid","Porcine, poultry, rabbit","50 μg/kg","Muscle","For porcine and poultry species this MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",50,"μg/kg","muscle"
"Avilamycin","Dichloroisoeverninic acid","Porcine, poultry, rabbit","100 μg/kg","Fat","For porcine and poultry species this MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",100,"μg/kg","fat"
"Avilamycin","Dichloroisoeverninic acid","Porcine, poultry, rabbit","300 μg/kg","Liver","For porcine and poultry species this MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Avilamycin","Dichloroisoeverninic acid","Porcine, poultry, rabbit","200 μg/kg","Kidney","For porcine and poultry species this MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",200,"μg/kg","kidney"
"Azagly-nafarelin","NOT APPLICABLE","Salmonidae","No MRL required","NOT APPLICABLE","Not for use in fish from which eggs are produced for human consumption.","NO ENTRY",NA,NA,NA
"Azamethiphos","NOT APPLICABLE","Fin fish","No MRL required","NOT APPLICABLE","NO ENTRY","Antiparasitic agents/Agents against ectoparasites",NA,NA,NA
"Azaperone","Sum of azaperone and azaperol","Porcine","100 μg/kg","Muscle","NO ENTRY","Agents acting on the nervous system/Agents acting on the central nervous system",100,"μg/kg","muscle"
"Azaperone","Sum of azaperone and azaperol","Porcine","100 μg/kg","Skin and fat","NO ENTRY","Agents acting on the nervous system/Agents acting on the central nervous system",100,"μg/kg","skin_fat"
"Azaperone","Sum of azaperone and azaperol","Porcine","100 μg/kg","Liver","NO ENTRY","Agents acting on the nervous system/Agents acting on the central nervous system",100,"μg/kg","liver"
"Azaperone","Sum of azaperone and azaperol","Porcine","100 μg/kg","Kidney","NO ENTRY","Agents acting on the nervous system/Agents acting on the central nervous system",100,"μg/kg","kidney"
"Bacitracin","Sum of bacitracin A, bacitracin B, and bacitracin C","Bovine","100 μg/kg","Milk","NO ENTRY","Anti-infectious agents/Antibiotics",100,"μg/kg","milk"
"Bacitracin","Sum of bacitracin A, bacitracin B, and bacitracin C","Rabbit","150 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","muscle"
"Bacitracin","Sum of bacitracin A, bacitracin B, and bacitracin C","Rabbit","150 μg/kg","Fat","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","fat"
"Bacitracin","Sum of bacitracin A, bacitracin B, and bacitracin C","Rabbit","150 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","liver"
"Bacitracin","Sum of bacitracin A, bacitracin B, and bacitracin C","Rabbit","150 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","kidney"
"Bacitracin","NOT APPLICABLE","Bovine","No MRL required for all tissues except milk","NOT APPLICABLE","For intramammary use in lactating cows only.","Anti-infectious agents/Antibiotics",NA,NA,NA
"Balsamum peruvianum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Bambermycin","NOT APPLICABLE","Rabbit","No MRL required","NOT APPLICABLE","For oral use only","Anti-infectious agent/Antibiotics",NA,NA,NA
"Bambermycin","Flavophos-pholipol A","Poultry","100  μg/kg","Muscle","Not for use in animals from which eggs are produced for human consumption","Anti-infectious agent/Antibiotics",100,"μg/kg","muscle"
